ProtoPublicServerPayloadType

Name	Value	Description
QUOTE_EVENT	3	
ERROR_RES	50	
TRENDBAR_REQ	113	
TRENDBAR_RES	114	
GET_ACCOUNT_INFORMATION_RES	124	
GET_ACCOUNT_GROUP_INFORMATION_RES	125	
ORDER_ERROR_RES	138	
CREATE_NEW_ORDER_REQ	143	
CANCEL_ORDER_REQ	144	
MODIFY_ORDER_REQ	145	
CLOSE_POSITION_REQ	146	
MODIFY_ORDER_PROTECTION_REQ	147	
GET_SYMBOL_REQ	163	
GET_SYMBOL_RES	164	
GET_ACCOUNT_INFORMATION_REQ	175	
GET_ACCOUNT_GROUP_INFORMATION_REQ	176	
EXECUTION_EVENT	300	
GET_DEAL_LIST_REQ	477	
GET_DEAL_LIST_RES	478	
SUBSCRIBE_QUOTES_REQ	601	
SUBSCRIBE_QUOTES_RES	602	
UNSUBSCRIBE_QUOTES_REQ	608	
UNSUBSCRIBE_QUOTES_RES	609	
GET_LIGHT_SYMBOL_LIST_REQ	841	
GET_LIGHT_SYMBOL_LIST_RES	842	
GET_DYNAMIC_LEVERAGE_REQ	858	
GET_DYNAMIC_LEVERAGE_RES	859
